number,name,ability_1,ability_2,male_ratio,female_ratio,classification,height,weight,type_1,type_2,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,base_egg_steps,capture_rate,egg_group_2,egg_group_1,base_hp,base_ attack,base_defense,base_sp_attack,base_sp_defense,base_speed
132,Ditto,Limber,,0,0,Transform Pokémon,0.3,3.99,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",35,,Ditto,48,48,48,48,48,48
204,Pineco,Sturdy,,50,50,Bagworm Pokémon,0.61,7.21,bug,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,"5,120",190,,Bug,50,65,90,35,35,15
130,Gyarados,Intimidate,,50,50,Atrocious Pokémon,6.5,234.96,water,flying,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,"1,280",45,Water 2,Dragon,95,125,79,60,100,81
040,Wigglytuff,Cute Charm,,25,75,Balloon Pokémon,0.99,11.79,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"2,560",50,,Fairy,140,70,45,75,50,45
169,Crobat,Inner Focus,,50,50,Bat Pokémon,1.8,74.98,poison,flying,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,"3,840",90,,Flying,85,90,80,70,80,130
259,Marshtomp,Torrent,,87.5,12.5,Mud Fish Pokémon,0.71,27.99,water,ground,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,"5,120",45,Monster,Water 1,70,85,70,60,70,50
056,Mankey,Vital Spirit,,50,50,Pig Monkey Pokémon,0.51,27.99,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,"5,120",190,,Ground,40,80,35,35,45,70
170,Chinchou,Volt Absorb,Illuminate,50,50,Angler Pokémon,0.51,11.79,water,electric,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,"5,120",190,,Water 2,75,38,38,56,56,67
344,Claydol,Levitate,,0,0,Clay Doll Pokémon,1.5,108.0,ground,psychic,1,1,2,0,2,2,0.5,0.5,1,1,0.5,2,0.5,2,1,2,1,"5,120",90,,Mineral,60,70,105,70,120,75
067,Machoke,Guts,,75,25,Superpower Pokémon,1.5,70.31,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,"5,120",90,,HumanShape,80,100,70,50,60,45
100,Voltorb,Soundproof,Static,0,0,Ball Pokémon,0.51,10.43,electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,"5,120",190,,Mineral,40,30,50,55,55,100
221,Piloswine,Oblivious,,50,50,Swine Pokémon,1.09,55.79,ice,ground,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,"5,120",75,,Ground,100,100,80,60,60,50
158,Totodile,Torrent,,87.5,12.5,Big Jaw Pokémon,0.61,9.48,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",45,Monster,Water 1,50,65,64,44,48,43
182,Bellossom,Chlorophyll,,50,50,Flower Pokémon,0.41,5.9,grass,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,"5,120",45,,Plant,75,80,85,90,100,50
324,Torkoal,White Smoke,,50,50,Coal Pokémon,0.51,80.38,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"5,120",90,,Ground,70,85,140,85,70,20
222,Corsola,Hustle,Natural Cure,25,75,Coral Pokémon,0.61,4.99,water,rock,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,"5,120",60,Water 1,Water 3,55,55,85,65,85,35
297,Hariyama,Thick Fat,Guts,75,25,Arm Thrust Pokémon,2.31,253.78,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,"5,120",200,,HumanShape,144,120,60,40,60,50
349,Feebas,Swift Swim,,50,50,Fish Pokémon,0.61,7.39,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",255,Water 1,Dragon,20,15,20,10,55,80
373,Salamence,Intimidate,,50,50,Dragon Pokémon,1.5,102.6,dragon,flying,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,"10,240",45,,Dragon,95,135,80,110,80,100
112,Rhydon,Rock Head,Lightning Rod,50,50,Drill Pokémon,1.91,120.2,ground,rock,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,"5,120",60,Monster,Ground,105,130,120,45,45,40
190,Aipom,Run Away,PickUp,50,50,Long Tail Pokémon,0.79,11.52,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",45,,Ground,55,70,55,40,55,85
335,Zangoose,Immunity,,50,50,Cat Ferret Pokémon,1.3,40.28,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",90,,Ground,73,115,60,60,60,90
012,Butterfree,Compound Eyes,,50,50,Butterfly Pokémon,1.09,31.98,bug,flying,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,"3,840",45,,Bug,60,45,50,80,80,70
063,Abra,Synchronize,Inner Focus,75,25,Psi Pokémon,0.89,19.5,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"5,120",200,,HumanShape,25,20,15,105,55,90
196,Espeon,Synchronize,,87.5,12.5,Sun Pokémon,0.89,26.49,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"8,960",45,,Ground,65,65,60,130,95,110
304,Aron,Rock Head,Sturdy,50,50,Iron Armor Pokémon,0.41,60.01,steel,rock,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1,"8,960",180,,Monster,50,70,100,40,40,30
002,Ivysaur,Overgrow,,87.5,12.5,Seed Pokémon,0.99,13.02,grass,poison,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,"5,120",45,Monster,Plant,60,62,63,80,80,60
371,Bagon,Rock Head,,50,50,Rock Head Pokémon,0.61,42.09,dragon,,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,"10,240",45,,Dragon,45,75,60,40,30,50
064,Kadabra,Synchronize,Inner Focus,75,25,Psi Pokémon,1.3,56.7,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"5,120",100,,HumanShape,40,35,30,120,70,105
097,Hypno,Insomnia,,50,50,Hypnosis Pokémon,1.6,75.61,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"5,120",75,,HumanShape,85,73,70,73,115,67
024,Arbok,Shed Skin,Intimidate,50,50,Cobra Pokémon,3.51,65.0,poison,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,"5,120",90,Ground,Dragon,60,85,69,65,79,80
085,Dodrio,Run Away,Early Bird,50,50,Triple Bird Pokémon,1.8,85.28,normal,flying,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,"5,120",45,,Flying,60,110,70,60,60,100
352,Kecleon,Color Change,,50,50,Color Swap Pokémon,0.99,22.0,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",200,,Ground,60,90,70,60,120,40
381,Latios,Levitate,,100,0,Eon Pokémon,2.01,60.01,dragon,psychic,1,0.5,0.5,0.5,0.5,2,0.5,1,1,1,0.5,2,1,2,2,2,1,"30,720",3,,,80,90,80,130,110,110
367,Huntail,Swift Swim,,50,50,Deep Sea Pokémon,1.7,26.99,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",60,,Water 1,55,104,105,94,75,52
168,Ariados,Insomnia,Swarm,50,50,Long Leg Pokémon,1.09,33.52,bug,poison,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,"3,840",90,,Bug,70,90,70,60,60,40
188,Skiploom,Chlorophyll,,50,50,Cottonweed Pokémon,0.61,1.0,grass,flying,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,"5,120",120,Fairy,Plant,55,45,50,45,65,80
333,Swablu,Natural Cure,,50,50,Cotton Bird Pokémon,0.41,1.18,normal,flying,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,"5,120",255,Flying,Dragon,45,40,60,40,75,50
331,Cacnea,Sand Veil,,50,50,Cactus Pokémon,0.41,51.3,grass,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,"5,120",190,Plant,HumanShape,50,85,40,85,40,35
139,Omastar,Swift Swim,Shell Armor,87.5,12.5,Spiral Pokémon,0.99,35.02,rock,water,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,"7,680",45,Water 1,Water 3,70,60,125,115,70,55
061,Poliwhirl,Damp,Water Absorb,50,50,Tadpole Pokémon,0.99,20.0,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",120,,Water 1,65,65,65,50,50,90
293,Whismur,Soundproof,,50,50,Whisper Pokémon,0.61,16.28,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",190,Monster,Ground,64,51,23,51,23,28
092,Gastly,Levitate,,50,50,Gas Pokémon,1.3,0.09,ghost,poison,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,"5,120",190,,Indeterminate,30,35,30,100,35,80
240,Magby,Flame Body,,75,25,Live Coal Pokémon,0.71,21.41,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"6,400",45,,,45,75,37,70,55,83
248,Tyranitar,Sandstream,,50,50,Armor Pokémon,2.01,201.98,rock,dark,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,"10,240",45,,Monster,100,134,110,95,100,61
138,Omanyte,Swift Swim,Shell Armor,87.5,12.5,Spiral Pokémon,0.41,7.48,rock,water,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,"7,680",45,Water 1,Water 3,35,40,100,90,55,35
294,Loudred,Soundproof,,50,50,Big Voice Pokémon,0.99,40.51,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",120,Monster,Ground,84,71,43,71,43,48
069,Bellsprout,Chlorophyll,,50,50,Flower Pokémon,0.71,3.99,grass,poison,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,"5,120",255,,Plant,50,75,35,70,30,40
272,Ludicolo,Swift Swim,Rain Dish,50,50,Carefree Pokémon,1.5,55.02,water,grass,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,"3,840",45,Water 1,Plant,80,70,70,90,100,70
385,Jirachi,Serene Grace,,0,0,Wish Pokémon,0.3,1.09,steel,psychic,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,1,0.5,1,0.5,"30,720",3,,,100,100,100,100,100,100
161,Sentret,Run Away,Keen Eye,50,50,Scout Pokémon,0.79,5.99,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"3,840",255,,Ground,35,46,34,35,45,20
151,Mew,Synchronize,,0,0,New Specie Pokémon,0.41,3.99,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"30,720",45,,,100,100,100,100,100,100
374,Beldum,Clear Body,,0,0,Iron Ball Pokémon,0.61,95.21,steel,psychic,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,1,0.5,1,0.5,"10,240",3,,Mineral,40,55,80,35,60,30
244,Entei,Pressure,,0,0,Volcano Pokémon,2.11,197.99,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"20,480",3,,,115,115,85,90,75,100
334,Altaria,Natural Cure,,50,50,Humming Pokémon,1.09,20.59,dragon,flying,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,"5,120",45,Flying,Dragon,75,70,90,70,105,80
055,Golduck,Damp,Cloud Nine,50,50,Duck Pokémon,1.7,76.66,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",75,Water 1,Ground,80,82,78,95,80,85
195,Quagsire,Damp,Water Absorb,50,50,Water Fish Pokémon,1.4,74.98,water,ground,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,"5,120",90,Water 1,Ground,95,85,85,65,65,35
124,Jynx,Oblivious,,0,100,Humanshape Pokémon,0.99,32.39,ice,psychic,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,"6,400",45,,HumanShape,65,50,35,115,95,95
223,Remoraid,Hustle,,50,50,Jet Pokémon,0.61,12.02,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",190,Water 1,Water 2,35,65,35,65,35,65
068,Machamp,Guts,,75,25,Superpower Pokémon,1.6,130.18,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,"5,120",45,,HumanShape,90,130,80,65,85,55
044,Gloom,Chlorophyll,,50,50,Weed Pokémon,0.51,5.44,grass,poison,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,"5,120",120,,Plant,60,65,70,85,75,40
376,Metagross,Clear Body,,0,0,Iron Leg Pokémon,1.6,549.98,steel,psychic,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,1,0.5,1,0.5,"10,240",3,,Mineral,80,135,130,95,90,70
073,Tentacruel,Clear Body,Liquid Ooze,50,50,Jellyfish Pokémon,1.6,54.88,water,poison,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,"5,120",60,,Water 3,80,70,65,80,120,100
183,Marill,Thick Fat,Huge Power,50,50,Aquamouse Pokémon,0.41,8.16,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",190,Water 1,Fairy,70,20,50,20,50,40
118,Goldeen,Swift Swim,Water Veil,50,50,Goldfish Pokémon,0.61,14.97,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",225,,Water 2,45,67,60,35,50,63
281,Kirlia,Synchronize,Trace,50,50,Emotion Pokémon,0.79,20.18,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"5,120",120,,Indeterminate,38,35,35,65,55,50
319,Sharpedo,Rough Skin,,50,50,Brutal Pokémon,1.8,88.81,water,dark,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,"5,120",60,,Water 2,70,120,40,95,40,95
094,Gengar,Levitate,,50,50,Gas Pokémon,1.5,40.51,ghost,poison,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,"5,120",45,,Indeterminate,60,65,60,130,75,110
242,Blissey,Natural Cure,Serene Grace,0,100,Happiness Pokémon,1.5,46.81,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"10,240",30,,Fairy,255,10,10,75,135,55
184,Azumarill,Thick Fat,Huge Power,50,50,Aquarabbit Pokémon,0.79,28.58,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",75,Water 1,Fairy,100,50,80,50,80,50
102,Exeggcute,Chlorophyll,,50,50,Egg Pokémon,0.41,2.49,grass,psychic,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,"5,120",90,,Plant,60,40,80,60,45,40
034,Nidoking,Poison Point,,100,0,Drill Pokémon,1.4,62.01,poison,ground,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,"5,120",45,Monster,Ground,81,92,77,85,75,85
030,Nidorina,Poison Point,,0,100,Poison Pin Pokémon,0.79,20.0,poison,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,"5,120",120,,,70,62,67,55,55,56
186,Politoed,Damp,Water Absorb,50,50,Frog Pokémon,1.09,33.88,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",45,,Water 1,90,75,75,90,100,70
309,Electrike,Static,Lightning Rod,50,50,Lightning Pokémon,0.61,15.2,electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,"5,120",120,,Ground,40,45,40,65,40,65
090,Shellder,Shell Armor,,50,50,Bivalve Pokémon,0.3,3.99,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",190,,Water 3,30,65,100,45,25,40
129,Magikarp,Swift Swim,,50,50,Fish Pokémon,0.89,9.98,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"1,280",255,Water 2,Dragon,20,10,55,15,20,80
050,Diglett,Sand Veil,Arena Trap,50,50,Mole Pokémon,0.2,0.82,ground,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,"5,120",255,,Ground,10,55,25,35,45,95
328,Trapinch,Hyper Cutter,Arena Trap,50,50,Ant Pit Pokémon,0.71,15.01,ground,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,"5,120",255,,Bug,45,100,45,45,45,10
296,Makuhita,Thick Fat,Guts,75,25,Guts Pokémon,0.99,86.41,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,"5,120",180,,HumanShape,72,60,30,20,30,25
108,Lickitung,Oblivious,Own Tempo,50,50,Licking Pokémon,1.19,65.5,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",45,,Monster,90,55,75,60,75,30
104,Cubone,Rock Head,Lightning Rod,50,50,Lonely Pokémon,0.41,6.49,ground,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,"5,120",190,,Monster,50,50,95,40,50,35
111,Rhyhorn,Rock Head,Lightning Rod,50,50,Spikes Pokémon,0.99,115.21,ground,rock,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,"5,120",120,Monster,Ground,80,85,95,30,30,25
179,Mareep,Static,,50,50,Wool Pokémon,0.61,7.8,electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,"5,120",235,Monster,Ground,55,40,40,65,45,35
343,Baltoy,Levitate,,0,0,Clay Doll Pokémon,0.51,21.5,ground,psychic,1,1,2,0,2,2,0.5,0.5,1,1,0.5,2,0.5,2,1,2,1,"5,120",255,,Mineral,40,40,55,40,70,55
329,Vibrava,Levitate,,50,50,Vibration Pokémon,1.09,15.29,ground,dragon,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,"5,120",120,,Bug,50,70,50,50,50,70
359,Absol,Pressure,,50,50,Disaster Pokémon,1.19,46.99,dark,,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,"6,400",30,,Ground,65,130,60,75,60,75
340,Whiscash,Oblivious,,50,50,Whiskers Pokémon,0.89,23.59,water,ground,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,"5,120",75,,Water 2,110,78,73,76,71,60
246,Larvitar,Guts,,50,50,Rock Skin Pokémon,0.61,71.99,rock,ground,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,"10,240",45,,Monster,50,64,50,45,50,41
250,Ho-oh,Pressure,,0,0,Rainbow Pokémon,3.81,62.91,fire,flying,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,"30,720",3,,,106,130,90,110,154,90
037,Vulpix,Flash Fire,,25,75,Fox Pokémon,0.61,9.98,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"5,120",190,,Ground,38,41,40,50,65,65
291,Ninjask,Speed Boost,,50,50,Ninja Pokémon,0.79,12.02,bug,flying,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,"3,840",120,,Bug,61,90,45,50,50,160
019,Rattata,Run Away,Guts,50,50,Mouse Pokémon,0.3,3.49,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"3,840",255,,Ground,30,56,35,25,35,72
036,Clefable,Cute Charm,,25,75,Fairy Pokémon,1.3,40.01,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"2,560",25,,Fairy,95,70,73,85,90,60
141,Kabutops,Swift Swim,Battle Armor,87.5,12.5,Shellfish Pokémon,1.3,40.51,rock,water,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,"7,680",45,Water 1,Water 3,60,115,105,65,70,80
164,Noctowl,Insomnia,Keen Eye,50,50,Owl Pokémon,1.6,40.78,normal,flying,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,"3,840",90,,Flying,100,50,50,76,96,70
219,Magcargo,Magma Armor,Flame Body,50,50,Lava Pokémon,0.79,54.88,fire,rock,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,"5,120",75,,Indeterminate,50,50,120,80,80,30
384,Rayquaza,Air Lock,,0,0,Sky High Pokémon,7.01,206.48,dragon,flying,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,"30,720",3,,,105,150,90,150,90,95
321,Wailord,Water Veil,Oblivious,50,50,Float Whale Pokémon,14.5,397.98,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"10,240",60,Ground,Water 2,170,90,45,90,45,60
070,Weepinbell,Chlorophyll,,50,50,Flycatcher Pokémon,0.99,6.4,grass,poison,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,"5,120",120,,Plant,65,90,50,85,45,55
249,Lugia,Pressure,,0,0,Diving Pokémon,5.44,216.0,psychic,flying,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,"30,720",3,,,106,90,130,90,154,110
258,Mudkip,Torrent,,87.5,12.5,Mud Fish Pokémon,0.41,7.62,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",45,Monster,Water 1,50,70,50,50,50,40
109,Koffing,Levitate,,50,50,Poison Gas Pokémon,0.61,0.91,poison,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,"5,120",190,,Indeterminate,40,65,95,60,45,35
207,Gligar,Sand Veil,Hyper Cutter,50,50,Flyscorpion Pokémon,1.09,64.82,ground,flying,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,"5,120",60,,Bug,65,75,105,35,65,85
300,Skitty,Cute Charm,,25,75,Kitten Pokémon,0.61,11.02,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"3,840",255,Ground,Fairy,50,45,45,35,35,50
071,Victreebel,Chlorophyll,,50,50,Flycatcher Pokémon,1.7,15.51,grass,poison,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,"5,120",45,,Plant,80,105,65,100,60,70
066,Machop,Guts,,75,25,Superpower Pokémon,0.79,19.5,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,"5,120",180,,HumanShape,70,80,50,35,35,35
217,Ursaring,Guts,,50,50,Hibernator Pokémon,1.8,125.78,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",60,,Ground,90,130,75,75,75,55
133,Eevee,Run Away,,87.5,12.5,Evolution Pokémon,0.3,6.49,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"8,960",45,,Ground,55,55,50,45,65,55
072,Tentacool,Clear Body,Liquid Ooze,50,50,Jellyfish Pokémon,0.89,45.36,water,poison,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,"5,120",190,,Water 3,40,40,35,50,100,70
027,Sandshrew,Sand Veil,,50,50,Mouse Pokémon,0.61,11.79,ground,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,"5,120",255,,Ground,50,75,85,20,30,40
315,Roselia,Natural Cure,Poison Point,50,50,Thorn Pokémon,0.3,2.0,grass,poison,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,"5,120",150,Fairy,Plant,50,60,45,100,80,65
316,Gulpin,Liquid Ooze,Sticky Hold,50,50,Stomach Pokémon,0.41,10.3,poison,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,"5,120",225,,Indeterminate,70,43,53,43,53,40
122,Mr. Mime,Soundproof,,50,50,Barrier Pokémon,1.3,54.48,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"6,40",45,,HumanShape,40,45,65,100,120,90
054,Psyduck,Damp,Cloud Nine,50,50,Duck Pokémon,0.79,19.5,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",190,Water 1,Ground,50,52,48,65,50,55
289,Slaking,Truant,,50,50,Lazy Pokémon,2.01,130.5,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"3,840",45,,Ground,150,160,100,95,65,100
117,Seadra,Poison Point,,50,50,Dragon Pokémon,1.19,24.95,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",75,Water 1,Dragon,55,65,95,95,45,85
365,Walrein,Thick Fat,,50,50,Ice Break Pokémon,1.4,150.59,ice,water,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,"5,120",45,Water 1,Ground,110,80,90,95,90,65
103,Exeggutor,Chlorophyll,,50,50,Coconut Pokémon,2.01,120.02,grass,psychic,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,"5,120",45,,Plant,95,95,85,125,65,55
010,Caterpie,Shield Dust,,50,50,Worm Pokémon,0.3,2.9,bug,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,"3,840",255,,Bug,45,30,35,20,20,45
379,Registeel,Clear Body,,0,0,Iron Pokémon,1.91,204.98,steel,,0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"20,480",3,,,80,75,150,75,150,50
274,Nuzleaf,Chrlorophyll,Early Bird,50,50,Wily Pokémon,0.99,27.99,grass,dark,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,"3,840",120,Ground,Plant,70,70,40,60,40,60
369,Relicanth,Swift Swim,Rock Head,87.5,12.5,Longevity Pokémon,0.99,23.41,water,rock,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,"10,240",25,Water 1,Water 2,100,90,130,45,65,55
082,Magneton,Magnet Pull,Sturdy,0,0,Magnet Pokémon,0.99,59.87,electric,steel,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,"5,120",60,,Mineral,50,60,95,120,70,70
